,month_number,year,month,state,end_date,new_deaths_per_month,new_cases_per_month
0,0,2020,1,New York,2020-01-31,0,0
1,1,2020,2,New York,2020-02-29,0,0
2,2,2020,3,New York,2020-03-31,211,32656
3,3,2020,4,New York,2020-04-30,5134,104238
4,4,2020,5,New York,2020-05-31,2785,30573
5,5,2020,6,New York,2020-06-30,550,10808
6,6,2020,7,New York,2020-07-31,161,11591
7,7,2020,8,New York,2020-08-31,111,10653
8,8,2020,9,New York,2020-09-30,89,14089
9,9,2020,10,New York,2020-10-31,222,29663
10,10,2020,11,New York,2020-11-30,739,91730
11,11,2020,12,New York,2020-12-31,2564,212153
12,12,2021,1,New York,2021-01-31,3654,263125
13,13,2021,2,New York,2021-02-28,1783,107667
14,14,2021,3,New York,2021-03-31,781,107227
15,15,2021,4,New York,2021-04-30,625,92985
16,16,2021,5,New York,2021-05-31,371,32062
17,17,2021,6,New York,2021-06-30,150,6255
18,18,2021,7,New York,2021-07-31,55,15309
19,19,2021,8,New York,2021-08-31,305,70452
20,20,2021,9,New York,2021-09-30,678,97576
21,0,2020,1,Maine,2020-01-31,0,0
22,1,2020,2,Maine,2020-02-29,0,0
23,2,2020,3,Maine,2020-03-31,5,303
24,3,2020,4,Maine,2020-04-30,50,820
25,4,2020,5,Maine,2020-05-31,34,1226
26,5,2020,6,Maine,2020-06-30,16,945
27,6,2020,7,Maine,2020-07-31,18,643
28,7,2020,8,Maine,2020-08-31,9,611
29,8,2020,9,Maine,2020-09-30,10,883
30,9,2020,10,Maine,2020-10-31,5,1237
31,10,2020,11,Maine,2020-11-30,67,5308
32,11,2020,12,Maine,2020-12-31,133,12225
33,12,2021,1,Maine,2021-01-31,248,15341
34,13,2021,2,Maine,2021-02-28,108,5221
35,14,2021,3,Maine,2021-03-31,40,6025
36,15,2021,4,Maine,2021-04-30,41,10742
37,16,2021,5,Maine,2021-05-31,41,6289
38,17,2021,6,Maine,2021-06-30,34,1235
39,18,2021,7,Maine,2021-07-31,41,1409
