sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,242278,0,0.696,69.6,4268863,0.91,0.91,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,269098,0,0.304,30.4,4337170,0.39,0.39,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,187,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,226,242278,0,0.496,49.6,4268863,4.38,5.29,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-10,148,3.47,379.5,-19.999999999999993
female,CH,202010,190,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,207,269098,0,0.504,50.4,4337170,4.38,4.77,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-10,173,3.99,1017.6,20
unknown,CH,202010,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-10,0,NA,NA,0
male,CH,202011,1119,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1345,242278,0,0.494,49.4,4268863,26.21,31.51,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-11,932,21.83,498.4,-0.20000000000000284
female,CH,202011,1144,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1351,269098,0,0.505,50.5,4337170,26.38,31.15,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-11,954,22,502.1,0.10000000000000142
unknown,CH,202011,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,128,0,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-11,2,NA,NA,0.1
male,CH,202012,3176,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4521,242278,0,0.484,48.4,4268863,74.4,105.91,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-12,2057,48.19,183.8,-1
female,CH,202012,3380,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4731,269098,0,0.515,51.5,4337170,77.93,109.08,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-12,2236,51.55,195.5,1
unknown,CH,202012,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-12,1,NA,50,-0.1
male,CH,202013,3409,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7930,242278,0,0.464,46.400000000000006,4268863,79.86,185.76,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-13,233,5.46,7.3,-1.999999999999993
female,CH,202013,3927,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8658,269098,0,0.535,53.5,4337170,90.54,199.62,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-13,547,12.61,16.2,2
unknown,CH,202013,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,128,0,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-13,6,NA,200,0.1
male,CH,202014,2699,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10629,242278,0,0.448,44.800000000000004,4268863,63.23,248.99,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-14,-710,-16.63,-20.8,-1.6000000000000014
female,CH,202014,3322,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11980,269098,0,0.551,55.1,4337170,76.59,276.22,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-14,-605,-13.95,-15.4,1.6000000000000014
unknown,CH,202014,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,128,0,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-14,-5,NA,-55.6,0
male,CH,202015,1530,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12159,242278,0,0.425,42.5,4268863,35.84,284.83,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-15,-1169,-27.39,-43.3,-2.3000000000000043
female,CH,202015,2069,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14049,269098,0,0.575,57.49999999999999,4337170,47.7,323.92,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-15,-1253,-28.89,-37.7,2.3999999999999915
unknown,CH,202015,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-15,-3,NA,-75,-0.1
male,CH,202016,712,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12871,242278,0,0.387,38.7,4268863,16.68,301.51,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-16,-818,-19.16,-53.5,-3.799999999999997
female,CH,202016,1127,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15176,269098,0,0.613,61.3,4337170,25.98,349.91,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-16,-942,-21.72,-45.5,3.8000000000000043
unknown,CH,202016,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-16,-1,NA,-100,0
male,CH,202017,496,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13367,242278,0,0.425,42.5,4268863,11.62,313.13,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-17,-216,-5.06,-30.3,3.799999999999997
female,CH,202017,672,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15848,269098,0,0.575,57.49999999999999,4337170,15.49,365.4,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-17,-455,-10.49,-40.4,-3.8000000000000043
unknown,CH,202017,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-17,0,NA,NA,0
male,CH,202018,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13667,242278,0,0.429,42.9,4268863,7.03,320.16,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-18,-196,-4.59,-39.5,0.3999999999999986
female,CH,202018,398,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16246,269098,0,0.569,56.89999999999999,4337170,9.18,374.58,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-18,-274,-6.31,-40.8,-0.6000000000000014
unknown,CH,202018,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,128,0,0.003,0.3,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-18,2,NA,NA,0.3
male,CH,202019,187,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13854,242278,0,0.466,46.6,4268863,4.38,324.54,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-19,-113,-2.65,-37.7,3.700000000000003
female,CH,202019,214,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16460,269098,0,0.534,53.400000000000006,4337170,4.93,379.51,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-19,-184,-4.25,-46.2,-3.499999999999986
unknown,CH,202019,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-19,-2,NA,-100,-0.3
male,CH,202020,115,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13969,242278,0,0.498,49.8,4268863,2.69,327.23,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-20,-72,-1.69,-38.5,3.1999999999999957
female,CH,202020,116,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16576,269098,0,0.502,50.2,4337170,2.67,382.18,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-20,-98,-2.26,-45.8,-3.200000000000003
unknown,CH,202020,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,128,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-20,0,NA,NA,0
male,CH,202021,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14041,242278,0,0.468,46.800000000000004,4268863,1.69,328.92,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-21,-43,-1,-37.4,-2.999999999999993
female,CH,202021,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16657,269098,0,0.526,52.6,4337170,1.87,384.05,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-21,-35,-0.8,-30.2,2.3999999999999986
unknown,CH,202021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,128,0,0.006,0.6,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-21,1,NA,NA,0.6
male,CH,202022,60,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14101,242278,0,0.476,47.599999999999994,4268863,1.41,330.32,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2020-22,-12,-0.28,-16.7,0.79999999999999
