date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,0 - 9,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,0 - 9,partially_vaccinated,0,0,17,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,0 - 9,not_vaccinated,7,7,877077,0.8,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,0 - 9,unknown,303,303,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,10 - 19,fully_vaccinated,0,0,51,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,10 - 19,partially_vaccinated,1,1,1056,94.7,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,10 - 19,not_vaccinated,1,1,846968,0.12,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,10 - 19,unknown,907,907,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,20 - 29,fully_vaccinated,0,0,396,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,20 - 29,partially_vaccinated,0,0,7793,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,20 - 29,not_vaccinated,2,2,1041670,0.19,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,20 - 29,unknown,1014,1014,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,30 - 39,fully_vaccinated,0,0,702,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,30 - 39,partially_vaccinated,0,0,12117,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,30 - 39,not_vaccinated,5,5,1221324,0.41,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,30 - 39,unknown,1262,1262,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,40 - 49,fully_vaccinated,0,0,1058,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,40 - 49,partially_vaccinated,0,0,16486,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,40 - 49,not_vaccinated,3,3,1186280,0.25,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,40 - 49,unknown,1194,1194,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,50 - 59,fully_vaccinated,0,0,1567,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,50 - 59,partially_vaccinated,0,0,25122,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,50 - 59,not_vaccinated,8,8,1272220,0.63,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,50 - 59,unknown,1070,1070,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,60 - 69,fully_vaccinated,0,0,1929,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,60 - 69,partially_vaccinated,0,0,24316,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,60 - 69,not_vaccinated,16,16,926525,1.73,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,60 - 69,unknown,612,612,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,70 - 79,fully_vaccinated,0,0,3782,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,70 - 79,partially_vaccinated,1,1,77512,1.29,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,70 - 79,not_vaccinated,18,18,643609,2.8,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,70 - 79,unknown,336,336,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,80+,fully_vaccinated,1,1,5857,17.07,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,80+,partially_vaccinated,6,6,113249,5.3,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,80+,not_vaccinated,47,47,336092,13.98,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,80+,unknown,383,383,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,Unbekannt,unknown,1,1,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,partially_vaccinated,0,0,13,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,not_vaccinated,7,14,877074,0.8,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,unknown,532,835,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,fully_vaccinated,0,0,204,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,partially_vaccinated,0,1,1098,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,not_vaccinated,2,3,846773,0.24,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,unknown,1352,2259,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,fully_vaccinated,0,0,1480,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,partially_vaccinated,1,1,8199,12.2,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,not_vaccinated,8,10,1040180,0.77,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,unknown,1446,2460,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,fully_vaccinated,0,0,2102,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,partially_vaccinated,1,1,13226,7.56,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,not_vaccinated,6,11,1218815,0.49,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,unknown,1675,2937,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,fully_vaccinated,0,0,3091,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,partially_vaccinated,0,0,17975,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,not_vaccinated,8,11,1182758,0.68,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,unknown,1643,2837,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,fully_vaccinated,0,0,4651,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,partially_vaccinated,0,0,28265,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
