date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,female,fully_vaccinated,1,1,8799,11.36,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,female,partially_vaccinated,5,5,157521,3.17,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,female,not_vaccinated,57,57,4190382,1.36,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,female,unknown,3786,3786,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,male,fully_vaccinated,0,0,6548,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,male,partially_vaccinated,3,3,120114,2.5,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,male,not_vaccinated,50,50,4161416,1.2,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,male,unknown,3296,3296,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,partially_vaccinated,0,0,33,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,female,fully_vaccinated,1,2,28199,3.55,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,female,partially_vaccinated,20,25,175893,11.37,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,female,not_vaccinated,83,140,4152610,2,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,female,unknown,5148,8934,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,male,fully_vaccinated,2,2,18628,10.74,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,male,partially_vaccinated,9,12,138712,6.49,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,male,not_vaccinated,87,137,4130738,2.11,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,male,unknown,4735,8031,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,unknown,1,1,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,female,fully_vaccinated,2,4,60986,3.28,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,female,partially_vaccinated,19,44,188643,10.07,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,female,not_vaccinated,69,209,4107073,1.68,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
