date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,117,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-01-28,moderna,fully_vaccinated,0,0,165,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-01-29,moderna,fully_vaccinated,0,0,173,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-01-30,moderna,fully_vaccinated,0,0,173,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-01-31,moderna,fully_vaccinated,0,0,173,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-01,moderna,fully_vaccinated,0,0,189,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-02,moderna,fully_vaccinated,0,0,216,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-03,moderna,fully_vaccinated,0,0,282,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-04,moderna,fully_vaccinated,0,0,383,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-05,moderna,fully_vaccinated,0,0,423,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-06,moderna,fully_vaccinated,0,0,424,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-07,moderna,fully_vaccinated,0,0,425,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-08,moderna,fully_vaccinated,0,0,455,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-09,moderna,fully_vaccinated,0,0,506,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-10,moderna,fully_vaccinated,0,0,803,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-11,moderna,fully_vaccinated,0,0,977,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-12,moderna,fully_vaccinated,0,0,1823,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-13,moderna,fully_vaccinated,0,0,3941,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-14,moderna,fully_vaccinated,0,0,4021,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-15,moderna,fully_vaccinated,0,0,5435,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-16,moderna,fully_vaccinated,0,0,9530,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-17,moderna,fully_vaccinated,0,0,15183,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-18,moderna,fully_vaccinated,0,0,22344,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-19,moderna,fully_vaccinated,0,0,29306,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-20,moderna,fully_vaccinated,0,0,32783,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-21,moderna,fully_vaccinated,0,0,33246,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-22,moderna,fully_vaccinated,0,0,40991,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-23,moderna,fully_vaccinated,0,0,52617,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-24,moderna,fully_vaccinated,0,0,65471,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-25,moderna,fully_vaccinated,0,0,79666,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-26,moderna,fully_vaccinated,0,0,92527,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-27,moderna,fully_vaccinated,0,0,96333,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-02-28,moderna,fully_vaccinated,0,0,97369,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-01,moderna,fully_vaccinated,0,0,106652,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-02,moderna,fully_vaccinated,0,0,117768,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-03,moderna,fully_vaccinated,0,0,129418,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-04,moderna,fully_vaccinated,0,0,140607,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-05,moderna,fully_vaccinated,0,0,150391,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
