date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,female,fully_vaccinated,0,0,8799,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,female,partially_vaccinated,4,4,157521,2.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,female,not_vaccinated,21,21,4190382,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,female,unknown,59,59,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,male,fully_vaccinated,0,0,6548,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,male,partially_vaccinated,4,4,120114,3.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,male,not_vaccinated,28,28,4161416,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,male,unknown,54,54,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,partially_vaccinated,0,0,33,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,female,fully_vaccinated,0,0,28199,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,female,partially_vaccinated,8,12,175893,4.55,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,female,not_vaccinated,28,49,4152610,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,female,unknown,51,110,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,male,fully_vaccinated,0,0,18628,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,male,partially_vaccinated,4,8,138712,2.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,male,not_vaccinated,29,57,4130738,0.7,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,male,unknown,46,100,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,female,fully_vaccinated,1,1,60986,1.64,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,female,partially_vaccinated,5,17,188643,2.65,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,female,not_vaccinated,22,71,4107073,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,female,unknown,26,136,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,male,fully_vaccinated,0,0,42146,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,male,partially_vaccinated,5,13,147270,3.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,male,not_vaccinated,33,90,4098662,0.81,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,male,unknown,37,137,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,unknown,fully_vaccinated,0,0,4,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,unknown,partially_vaccinated,0,0,54,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202106,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,female,fully_vaccinated,0,1,100361,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,female,partially_vaccinated,4,21,183074,2.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,female,not_vaccinated,13,84,4073267,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,female,unknown,27,163,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,male,fully_vaccinated,0,0,75022,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,male,partially_vaccinated,0,13,139250,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,male,not_vaccinated,22,112,4073806,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,male,unknown,18,155,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,female,fully_vaccinated,2,3,150102,1.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,female,partially_vaccinated,3,24,161232,1.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,female,not_vaccinated,7,91,4045368,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,male,fully_vaccinated,1,1,115199,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,male,partially_vaccinated,5,18,119751,4.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,male,not_vaccinated,12,124,4053128,0.3,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,male,unknown,18,173,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,female,fully_vaccinated,0,3,193559,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,female,partially_vaccinated,2,26,159396,1.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,female,not_vaccinated,14,105,4003747,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,female,unknown,15,193,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,male,fully_vaccinated,0,1,148445,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,male,partially_vaccinated,1,19,120051,0.83,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,male,not_vaccinated,11,135,4019582,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,male,unknown,23,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,fully_vaccinated,0,0,37,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,female,fully_vaccinated,2,5,229220,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,female,partially_vaccinated,1,27,174358,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,female,not_vaccinated,14,119,3953124,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,female,unknown,14,207,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
202110,male,fully_vaccinated,1,2,174999,0.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-10-11_08-00-56
