date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202053,AG,age,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202101,AG,age,3,indication,685845,3,0,0.75,75,50,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202102,AG,age,2,indication,685845,5,0,0.143,14.299999999999999,25,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202103,AG,age,4,indication,685845,9,0,0.024,2.4,4.9,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202104,AG,age,499,indication,685845,508,0.1,0.646,64.60000000000001,53,0.07,0.07,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202105,AG,age,1590,indication,685845,2098,0.3,0.616,61.6,59.3,0.23,0.31,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202106,AG,age,1470,indication,685845,3568,0.5,0.575,57.49999999999999,58.599999999999994,0.21,0.52,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202107,AG,age,3587,indication,685845,7155,1,0.679,67.9,62.9,0.52,1.04,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202108,AG,age,3619,indication,685845,10774,1.6,0.555,55.50000000000001,60.199999999999996,0.53,1.57,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202109,AG,age,2893,indication,685845,13667,2,0.486,48.6,57.3,0.42,1.99,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202110,AG,age,1901,indication,685845,15568,2.3,0.406,40.6,54.6,0.28,2.27,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202111,AG,age,2130,indication,685845,17698,2.6,0.413,41.3,52.5,0.31,2.58,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202112,AG,age,4461,indication,685845,22159,3.2,0.53,53,52.6,0.65,3.23,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202113,AG,age,3533,indication,685845,25692,3.7,0.556,55.60000000000001,53,0.52,3.75,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202114,AG,age,4061,indication,685845,29753,4.3,0.456,45.6,51.9,0.59,4.34,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202115,AG,age,2036,indication,685845,31789,4.6,0.317,31.7,49.8,0.3,4.64,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202116,AG,age,2337,indication,685845,34126,5,0.284,28.4,47.4,0.34,4.98,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202117,AG,age,1569,indication,685845,35695,5.2,0.161,16.1,43.7,0.23,5.2,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202118,AG,age,2481,indication,685845,38176,5.6,0.205,20.5,40.699999999999996,0.36,5.57,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202119,AG,age,1819,indication,685845,39995,5.8,0.126,12.6,36.9,0.27,5.83,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202120,AG,age,1544,indication,685845,41539,6.1,0.072,7.199999999999999,32,0.23,6.06,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202121,AG,age,852,indication,685845,42391,6.2,0.049,4.9,28.799999999999997,0.12,6.18,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202122,AG,age,2102,indication,685845,44493,6.5,0.081,8.1,25.7,0.31,6.49,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202123,AG,age,1553,indication,685845,46046,6.7,0.08,8,23.9,0.23,6.71,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202124,AG,age,1498,indication,685845,47544,6.9,0.084,8.4,22.6,0.22,6.93,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202125,AG,age,1182,indication,685845,48726,7.1,0.05,5,20.8,0.17,7.1,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202126,AG,age,1204,indication,685845,49930,7.3,0.046,4.6,19.2,0.18,7.28,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202127,AG,age,862,indication,685845,50792,7.4,0.028,2.8000000000000003,17.4,0.13,7.41,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202128,AG,age,500,indication,685845,51292,7.5,0.021,2.1,16.2,0.07,7.48,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202129,AG,age,529,indication,685845,51821,7.6,0.036,3.5999999999999996,15.7,0.08,7.56,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202130,AG,age,459,indication,685845,52280,7.6,0.047,4.7,15.4,0.07,7.62,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202131,AG,age,596,indication,685845,52876,7.7,0.084,8.4,15.2,0.09,7.71,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202132,AG,age,804,indication,685845,53680,7.8,0.13,13,15.2,0.12,7.83,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202133,AG,age,708,indication,685845,54388,7.9,0.134,13.4,15.1,0.1,7.93,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202134,AG,age,635,indication,685845,55023,8,0.104,10.4,15.1,0.09,8.02,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202135,AG,age,493,indication,685845,55516,8.1,0.089,8.9,15,0.07,8.09,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202136,AG,age,570,indication,685845,56086,8.2,0.095,9.5,14.899999999999999,0.08,8.18,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202137,AG,age,675,indication,685845,56761,8.3,0.09,9,14.799999999999999,0.1,8.28,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202138,AG,age,971,indication,685845,57732,8.4,0.108,10.8,14.7,0.14,8.42,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202139,AG,age,1022,indication,685845,58754,8.6,0.106,10.6,14.6,0.15,8.57,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202140,AG,age,784,indication,685845,59538,8.7,0.079,7.9,14.399999999999999,0.11,8.68,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202052,AG,chronic_disease,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202053,AG,chronic_disease,0,indication,685845,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202101,AG,chronic_disease,1,indication,685845,1,0,0.25,25,16.7,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202102,AG,chronic_disease,1,indication,685845,2,0,0.071,7.1,10,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202103,AG,chronic_disease,9,indication,685845,11,0,0.055,5.5,5.8999999999999995,0,0,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202104,AG,chronic_disease,97,indication,685845,108,0,0.125,12.5,11.3,0.01,0.02,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202105,AG,chronic_disease,432,indication,685845,540,0.1,0.167,16.7,15.299999999999999,0.06,0.08,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202106,AG,chronic_disease,410,indication,685845,950,0.1,0.16,16,15.6,0.06,0.14,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202107,AG,chronic_disease,990,indication,685845,1940,0.3,0.188,18.8,17.1,0.14,0.28,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202108,AG,chronic_disease,1467,indication,685845,3407,0.5,0.225,22.5,19,0.21,0.5,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202109,AG,chronic_disease,1595,indication,685845,5002,0.7,0.268,26.8,21,0.23,0.73,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202110,AG,chronic_disease,1255,indication,685845,6257,0.9,0.268,26.8,21.9,0.18,0.91,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202111,AG,chronic_disease,1521,indication,685845,7778,1.1,0.295,29.5,23.1,0.22,1.13,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202112,AG,chronic_disease,2545,indication,685845,10323,1.5,0.302,30.2,24.5,0.37,1.51,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202113,AG,chronic_disease,1873,indication,685845,12196,1.8,0.295,29.5,25.2,0.27,1.78,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202114,AG,chronic_disease,2976,indication,685845,15172,2.2,0.334,33.4,26.400000000000002,0.43,2.21,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202115,AG,chronic_disease,2164,indication,685845,17336,2.5,0.337,33.7,27.200000000000003,0.32,2.53,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202116,AG,chronic_disease,2984,indication,685845,20320,3,0.363,36.3,28.199999999999996,0.44,2.96,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
202117,AG,chronic_disease,3187,indication,685845,23507,3.4,0.327,32.7,28.799999999999997,0.46,3.43,COVID19FullyVaccPersons,2021-10-11_10-43-19,detailed
