sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,12682,0,0.476,47.599999999999994,4268863,0.47,0.47,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,9346,0,0.524,52.400000000000006,4337170,0.51,0.51,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,12682,0,0.506,50.6,4268863,1.05,1.52,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-10,25,0.58,125,3.000000000000007
female,CH,202010,44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,9346,0,0.494,49.4,4337170,1.01,1.52,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-10,22,0.5,100,-3.000000000000007
unknown,CH,202010,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-10,0,NA,NA,0
male,CH,202011,133,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,198,12682,0,0.52,52,4268863,3.12,4.64,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-11,88,2.07,195.6,1.3999999999999986
female,CH,202011,123,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,189,9346,0,0.48,48,4337170,2.84,4.36,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-11,79,1.83,179.5,-1.3999999999999986
unknown,CH,202011,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-11,0,NA,NA,0
male,CH,202012,415,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,613,12682,0,0.595,59.5,4268863,9.72,14.36,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-12,282,6.6,212,7.5
female,CH,202012,282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,471,9346,0,0.405,40.5,4337170,6.5,10.86,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-12,159,3.66,129.3,-7.5
unknown,CH,202012,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-12,0,NA,NA,0
male,CH,202013,655,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1268,12682,0,0.61,61,4268863,15.34,29.7,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-13,240,5.62,57.8,1.5
female,CH,202013,419,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,890,9346,0,0.39,39,4337170,9.66,20.52,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-13,137,3.16,48.6,-1.5
unknown,CH,202013,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-13,0,NA,NA,0
male,CH,202014,479,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1747,12682,0,0.651,65.10000000000001,4268863,11.22,40.92,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-14,-176,-4.12,-26.9,4.1000000000000085
female,CH,202014,256,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1146,9346,0,0.348,34.8,4337170,5.9,26.42,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-14,-163,-3.76,-38.9,-4.200000000000003
unknown,CH,202014,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0.001,0.1,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-14,1,NA,NA,0.1
male,CH,202015,269,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016,12682,0,0.624,62.4,4268863,6.3,47.23,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-15,-210,-4.92,-43.8,-2.70000000000001
female,CH,202015,162,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1308,9346,0,0.376,37.6,4337170,3.74,30.16,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-15,-94,-2.16,-36.7,2.8000000000000043
unknown,CH,202015,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-15,-1,NA,-100,-0.1
male,CH,202016,174,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2190,12682,0,0.611,61.1,4268863,4.08,51.3,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-16,-95,-2.22,-35.3,-1.2999999999999972
female,CH,202016,111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1419,9346,0,0.389,38.9,4337170,2.56,32.72,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-16,-51,-1.18,-31.5,1.2999999999999972
unknown,CH,202016,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-16,0,NA,NA,0
male,CH,202017,109,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2299,12682,0,0.602,60.199999999999996,4268863,2.55,53.86,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-17,-65,-1.53,-37.4,-0.9000000000000057
female,CH,202017,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1491,9346,0,0.398,39.800000000000004,4337170,1.66,34.38,COVID19Hosp,sex,2021-10-11_08-00-56,isoweek,2020-17,-39,-0.9,-35.1,0.9000000000000057
