geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,42,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,22029,0,1,100,8606033,0.49,0.49,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-09,NA,NA,NA,NA
CH,202010,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,131,22029,0,1,100,8606033,1.03,1.52,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-10,47,0.54,111.9,0
CH,202011,256,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,387,22029,0,1,100,8606033,2.97,4.5,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-11,167,1.94,187.6,0
CH,202012,697,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1084,22029,0,1,100,8606033,8.1,12.6,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-12,441,5.13,172.3,0
CH,202013,1074,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2158,22029,0,1,100,8606033,12.48,25.08,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-13,377,4.38,54.1,0
CH,202014,736,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2894,22029,0,1,100,8606033,8.55,33.63,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-14,-338,-3.93,-31.5,0
CH,202015,431,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3325,22029,0,1,100,8606033,5.01,38.64,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-15,-305,-3.54,-41.4,0
CH,202016,285,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3610,22029,0,1,100,8606033,3.31,41.95,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-16,-146,-1.7,-33.9,0
CH,202017,181,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3791,22029,0,1,100,8606033,2.1,44.05,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-17,-104,-1.21,-36.5,0
CH,202018,88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3879,22029,0,1,100,8606033,1.02,45.07,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2020-18,-93,-1.08,-51.4,0
