date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,117,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-01-28,moderna,fully_vaccinated,0,0,165,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-01-29,moderna,fully_vaccinated,0,0,173,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-01-30,moderna,fully_vaccinated,0,0,173,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-01-31,moderna,fully_vaccinated,0,0,173,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-01,moderna,fully_vaccinated,0,0,189,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-02,moderna,fully_vaccinated,0,0,216,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-03,moderna,fully_vaccinated,0,0,282,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-04,moderna,fully_vaccinated,0,0,383,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-05,moderna,fully_vaccinated,0,0,423,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-06,moderna,fully_vaccinated,0,0,424,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-07,moderna,fully_vaccinated,0,0,425,0,NA,0.14,32.94,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-08,moderna,fully_vaccinated,0,0,455,0,NA,0.14,30.77,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-09,moderna,fully_vaccinated,0,0,506,0,NA,0.14,27.67,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-10,moderna,fully_vaccinated,1,1,803,124.53,NA,0.14,17.43,100,10,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-11,moderna,fully_vaccinated,0,1,977,0,NA,0.14,14.33,0,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-12,moderna,fully_vaccinated,0,1,1823,0,NA,0.14,7.68,NA,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-13,moderna,fully_vaccinated,0,1,3941,0,NA,0.29,7.36,0,7.69,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-14,moderna,fully_vaccinated,0,1,4021,0,NA,0.29,7.21,0,6.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-15,moderna,fully_vaccinated,0,1,5435,0,NA,0.29,5.34,0,5.56,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-16,moderna,fully_vaccinated,1,2,9530,10.49,NA,0.29,3.04,50,10,21.43,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-02-17,moderna,fully_vaccinated,1,3,15183,6.59,NA,0.29,1.91,100,14.29,21.43,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
