date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202104,female,fully_vaccinated,0,0,8799,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,female,partially_vaccinated,1,1,157521,0.63,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,female,not_vaccinated,31,31,4190382,0.74,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,female,unknown,126,126,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,male,fully_vaccinated,0,0,6548,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,male,partially_vaccinated,1,1,120114,0.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,male,not_vaccinated,28,28,4161416,0.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,male,unknown,167,167,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,partially_vaccinated,0,0,33,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,female,fully_vaccinated,0,0,28199,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,female,partially_vaccinated,2,3,175893,1.14,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,female,not_vaccinated,52,83,4152610,1.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,female,unknown,160,286,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,male,fully_vaccinated,0,0,18628,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,male,partially_vaccinated,3,4,138712,2.16,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,male,not_vaccinated,71,99,4130738,1.72,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,male,unknown,162,329,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,unknown,unknown,1,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,female,fully_vaccinated,2,2,60986,3.28,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202106,female,partially_vaccinated,3,6,188643,1.59,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
