date,geoRegion,altersklasse_covid19,entries,type_variant,age_group_type,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202053,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202101,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202102,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202103,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202104,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,71486,1,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202105,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,1,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202106,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,71486,3,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202107,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,71486,5,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202108,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,71486,7,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202109,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,7,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202110,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,71486,8,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202111,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,8,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202112,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,71486,9,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202113,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,71486,9,0,0.01,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202114,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,71486,11,0,0.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
