date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,685845,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202053,AG,vaccination_centre,243,location,685845,243,NA,0.996,99.6,99.2,0.04,0.04,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202101,AG,vaccination_centre,2279,location,685845,2522,NA,0.903,90.3,91.10000000000001,0.33,0.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202102,AG,vaccination_centre,2775,location,685845,5297,NA,0.794,79.4,84.5,0.4,0.77,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202103,AG,vaccination_centre,4739,location,685845,10036,NA,0.768,76.8,80.7,0.69,1.46,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202104,AG,vaccination_centre,4027,location,685845,14063,NA,0.636,63.6,74.9,0.59,2.05,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202105,AG,vaccination_centre,5209,location,685845,19272,NA,0.601,60.099999999999994,70.3,0.76,2.81,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202106,AG,vaccination_centre,6329,location,685845,25601,NA,0.821,82.1,72.89999999999999,0.92,3.73,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202107,AG,vaccination_centre,9703,location,685845,35304,NA,0.873,87.3,76.3,1.41,5.15,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202108,AG,vaccination_centre,11765,location,685845,47069,NA,0.79,79,77,1.72,6.86,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202109,AG,vaccination_centre,10742,location,685845,57811,NA,0.782,78.2,77.2,1.57,8.43,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202110,AG,vaccination_centre,11996,location,685845,69807,NA,0.882,88.2,78.9,1.75,10.18,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202111,AG,vaccination_centre,10296,location,685845,80103,NA,0.975,97.5,80.9,1.5,11.68,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202112,AG,vaccination_centre,16165,location,685845,96268,NA,0.985,98.5,83.39999999999999,2.36,14.04,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202113,AG,vaccination_centre,15446,location,685845,111714,NA,0.984,98.4,85.2,2.25,16.29,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202114,AG,vaccination_centre,19499,location,685845,131213,NA,0.935,93.5,86.3,2.84,19.13,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202115,AG,vaccination_centre,24043,location,685845,155256,NA,0.955,95.5,87.6,3.51,22.64,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202116,AG,vaccination_centre,27376,location,685845,182632,NA,0.916,91.60000000000001,88.2,3.99,26.63,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202117,AG,vaccination_centre,23244,location,685845,205876,NA,0.932,93.2,88.7,3.39,30.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202118,AG,vaccination_centre,29590,location,685845,235466,NA,0.853,85.3,88.3,4.31,34.33,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202119,AG,vaccination_centre,27873,location,685845,263339,NA,0.853,85.3,87.9,4.06,38.4,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202120,AG,vaccination_centre,30028,location,685845,293367,NA,0.779,77.9,86.8,4.38,42.77,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202121,AG,vaccination_centre,33257,location,685845,326624,NA,0.813,81.3,86.2,4.85,47.62,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202122,AG,vaccination_centre,44113,location,685845,370737,NA,0.86,86,86.2,6.43,54.06,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202123,AG,vaccination_centre,43756,location,685845,414493,NA,0.878,87.8,86.4,6.38,60.44,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202124,AG,vaccination_centre,35658,location,685845,450151,NA,0.843,84.3,86.2,5.2,65.63,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202125,AG,vaccination_centre,29359,location,685845,479510,NA,0.817,81.69999999999999,85.9,4.28,69.92,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202126,AG,vaccination_centre,29813,location,685845,509323,NA,0.853,85.3,85.9,4.35,74.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202127,AG,vaccination_centre,32671,location,685845,541994,NA,0.914,91.4,86.2,4.76,79.03,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202128,AG,vaccination_centre,27662,location,685845,569656,NA,0.939,93.89999999999999,86.5,4.03,83.06,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202129,AG,vaccination_centre,17405,location,685845,587061,NA,0.911,91.10000000000001,86.7,2.54,85.6,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202130,AG,vaccination_centre,13274,location,685845,600335,NA,0.902,90.2,86.7,1.94,87.53,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202131,AG,vaccination_centre,11036,location,685845,611371,NA,0.862,86.2,86.7,1.61,89.14,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202132,AG,vaccination_centre,9445,location,685845,620816,NA,0.844,84.39999999999999,86.7,1.38,90.52,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202133,AG,vaccination_centre,10291,location,685845,631107,NA,0.852,85.2,86.7,1.5,92.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202134,AG,vaccination_centre,12966,location,685845,644073,NA,0.862,86.2,86.7,1.89,93.91,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202135,AG,vaccination_centre,12713,location,685845,656786,NA,0.858,85.8,86.6,1.85,95.76,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202136,AG,vaccination_centre,15175,location,685845,671961,NA,0.88,88,86.7,2.21,97.98,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202137,AG,vaccination_centre,16469,location,685845,688430,NA,0.855,85.5,86.6,2.4,100.38,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202138,AG,vaccination_centre,13335,location,685845,701765,NA,0.822,82.19999999999999,86.6,1.94,102.32,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202139,AG,vaccination_centre,12165,location,685845,713930,NA,0.833,83.3,86.5,1.77,104.09,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202140,AG,vaccination_centre,12406,location,685845,726336,NA,0.918,91.8,86.6,1.81,105.9,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202052,AG,nursing_home,0,location,685845,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202053,AG,nursing_home,0,location,685845,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202101,AG,nursing_home,242,location,685845,242,NA,0.096,9.6,8.7,0.04,0.04,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202102,AG,nursing_home,720,location,685845,962,NA,0.206,20.599999999999998,15.4,0.1,0.14,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202103,AG,nursing_home,1423,location,685845,2385,NA,0.231,23.1,19.2,0.21,0.35,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202104,AG,nursing_home,2295,location,685845,4680,NA,0.363,36.3,24.9,0.33,0.68,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202105,AG,nursing_home,3440,location,685845,8120,NA,0.397,39.7,29.599999999999998,0.5,1.18,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202106,AG,nursing_home,1376,location,685845,9496,NA,0.178,17.8,27,0.2,1.38,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202107,AG,nursing_home,1385,location,685845,10881,NA,0.125,12.5,23.5,0.2,1.59,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202108,AG,nursing_home,3116,location,685845,13997,NA,0.209,20.9,22.900000000000002,0.45,2.04,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202109,AG,nursing_home,2952,location,685845,16949,NA,0.215,21.5,22.6,0.43,2.47,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202110,AG,nursing_home,1581,location,685845,18530,NA,0.116,11.600000000000001,20.9,0.23,2.7,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202111,AG,nursing_home,264,location,685845,18794,NA,0.025,2.5,19,0.04,2.74,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202112,AG,nursing_home,230,location,685845,19024,NA,0.014,1.4000000000000001,16.5,0.03,2.77,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202113,AG,nursing_home,226,location,685845,19250,NA,0.014,1.4000000000000001,14.7,0.03,2.81,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202114,AG,nursing_home,657,location,685845,19907,NA,0.031,3.1,13.100000000000001,0.1,2.9,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202115,AG,nursing_home,542,location,685845,20449,NA,0.022,2.1999999999999997,11.5,0.08,2.98,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202116,AG,nursing_home,2048,location,685845,22497,NA,0.068,6.800000000000001,10.9,0.3,3.28,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202117,AG,nursing_home,1101,location,685845,23598,NA,0.044,4.3999999999999995,10.2,0.16,3.44,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202118,AG,nursing_home,563,location,685845,24161,NA,0.016,1.6,9.1,0.08,3.52,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202119,AG,nursing_home,587,location,685845,24748,NA,0.018,1.7999999999999998,8.3,0.09,3.61,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202120,AG,nursing_home,2094,location,685845,26842,NA,0.054,5.4,7.9,0.31,3.91,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202121,AG,nursing_home,1156,location,685845,27998,NA,0.028,2.8000000000000003,7.3999999999999995,0.17,4.08,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202122,AG,nursing_home,432,location,685845,28430,NA,0.008,0.8,6.6000000000000005,0.06,4.15,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202123,AG,nursing_home,280,location,685845,28710,NA,0.006,0.6,6,0.04,4.19,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202124,AG,nursing_home,125,location,685845,28835,NA,0.003,0.3,5.5,0.02,4.2,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202125,AG,nursing_home,130,location,685845,28965,NA,0.004,0.4,5.2,0.02,4.22,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202126,AG,nursing_home,283,location,685845,29248,NA,0.008,0.8,4.9,0.04,4.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202127,AG,nursing_home,2,location,685845,29250,NA,0,0,4.7,0,4.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202128,AG,nursing_home,0,location,685845,29250,NA,0,0,4.3999999999999995,0,4.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202129,AG,nursing_home,0,location,685845,29250,NA,0,0,4.3,0,4.26,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202130,AG,nursing_home,8,location,685845,29258,NA,0.001,0.1,4.2,0,4.27,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202131,AG,nursing_home,234,location,685845,29492,NA,0.018,1.7999999999999998,4.2,0.03,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202132,AG,nursing_home,2,location,685845,29494,NA,0,0,4.1000000000000005,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202133,AG,nursing_home,1,location,685845,29495,NA,0,0,4.1000000000000005,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202134,AG,nursing_home,0,location,685845,29495,NA,0,0,4,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202135,AG,nursing_home,0,location,685845,29495,NA,0,0,3.9,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202136,AG,nursing_home,0,location,685845,29495,NA,0,0,3.8,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202137,AG,nursing_home,0,location,685845,29495,NA,0,0,3.6999999999999997,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202138,AG,nursing_home,8,location,685845,29503,NA,0,0,3.5999999999999996,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202139,AG,nursing_home,0,location,685845,29503,NA,0,0,3.5999999999999996,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202140,AG,nursing_home,0,location,685845,29503,NA,0,0,3.5000000000000004,0,4.3,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202052,AG,medical_practice,1,location,685845,1,NA,1,100,100,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202053,AG,medical_practice,1,location,685845,2,NA,0.004,0.4,0.8,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202101,AG,medical_practice,1,location,685845,3,NA,0,0,0.1,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202102,AG,medical_practice,1,location,685845,4,NA,0,0,0.1,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
202103,AG,medical_practice,2,location,685845,6,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed
