date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,344733,0,0,0,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0,0
202053,AG,male,79,sex,344733,79,0.02,0.02,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.324,32.4
202101,AG,male,1192,sex,344733,1271,0.35,0.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.472,47.199999999999996
202102,AG,male,1543,sex,344733,2814,0.45,0.82,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.441,44.1
202103,AG,male,2808,sex,344733,5622,0.81,1.63,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.455,45.5
202104,AG,male,2641,sex,344733,8263,0.77,2.4,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.417,41.699999999999996
202105,AG,male,3527,sex,344733,11790,1.02,3.42,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.407,40.699999999999996
202106,AG,male,3278,sex,344733,15068,0.95,4.37,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.425,42.5
202107,AG,male,5038,sex,344733,20106,1.46,5.83,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.453,45.300000000000004
202108,AG,male,6571,sex,344733,26677,1.91,7.74,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.441,44.1
202109,AG,male,5994,sex,344733,32671,1.74,9.48,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.436,43.6
202110,AG,male,6062,sex,344733,38733,1.76,11.24,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.446,44.6
202111,AG,male,4806,sex,344733,43539,1.39,12.63,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.455,45.5
202112,AG,male,7746,sex,344733,51285,2.25,14.88,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.472,47.199999999999996
202113,AG,male,7487,sex,344733,58772,2.17,17.05,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.477,47.699999999999996
202114,AG,male,9759,sex,344733,68531,2.83,19.88,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.468,46.800000000000004
202115,AG,male,10926,sex,344733,79457,3.17,23.05,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.434,43.4
202116,AG,male,14561,sex,344733,94018,4.22,27.27,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.487,48.699999999999996
202117,AG,male,11921,sex,344733,105939,3.46,30.73,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.478,47.8
202118,AG,male,16982,sex,344733,122921,4.93,35.66,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.489,48.9
202119,AG,male,14711,sex,344733,137632,4.27,39.92,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.45,45
202120,AG,male,18491,sex,344733,156123,5.36,45.29,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.48,48
202121,AG,male,20636,sex,344733,176759,5.99,51.27,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.504,50.4
202122,AG,male,26642,sex,344733,203401,7.73,59,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.52,52
202123,AG,male,25884,sex,344733,229285,7.51,66.51,COVID19VaccDosesAdministered,2021-10-11_10-43-19,detailed,0.52,52
