date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,344733,2,0,0,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.25,25
202053,AG,male,56,sex,344733,58,0.02,0.02,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.301,30.099999999999998
202101,AG,male,1187,sex,344733,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.475,47.5
202102,AG,male,1532,sex,344733,2777,0.44,0.81,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.45,45
202103,AG,male,2863,sex,344733,5640,0.83,1.64,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.458,45.800000000000004
202104,AG,male,2381,sex,344733,8021,0.69,2.33,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.421,42.1
202105,AG,male,2372,sex,344733,10393,0.69,3.01,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.4,40
202106,AG,male,2012,sex,344733,12405,0.58,3.6,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.399,39.900000000000006
202107,AG,male,2399,sex,344733,14804,0.7,4.29,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.457,45.7
202108,AG,male,3865,sex,344733,18669,1.12,5.42,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.475,47.5
202109,AG,male,3628,sex,344733,22297,1.05,6.47,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.463,46.300000000000004
202110,AG,male,4040,sex,344733,26337,1.17,7.64,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.463,46.300000000000004
202111,AG,male,2444,sex,344733,28781,0.71,8.35,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.464,46.400000000000006
202112,AG,male,3806,sex,344733,32587,1.1,9.45,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.474,47.4
202113,AG,male,4515,sex,344733,37102,1.31,10.76,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.475,47.5
202114,AG,male,5713,sex,344733,42815,1.66,12.42,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.467,46.7
202115,AG,male,8044,sex,344733,50859,2.33,14.75,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.429,42.9
202116,AG,male,10789,sex,344733,61648,3.13,17.88,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.49,49
202117,AG,male,7555,sex,344733,69203,2.19,20.07,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.48,48
202118,AG,male,11584,sex,344733,80787,3.36,23.43,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed,0.495,49.5
