date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-23,AG,5,685845,5,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-24,AG,3,685845,8,0,NA,0,NA,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-25,AG,0,685845,8,0,0,0,10.43,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-26,AG,0,685845,8,0,0,0,18,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-27,AG,0,685845,8,0,0,0,26.71,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-28,AG,65,685845,73,0.01,0,0.01,26.29,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-29,AG,53,685845,126,0.01,0,0.02,26.43,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-30,AG,66,685845,192,0.01,0,0.03,26.57,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2020-12-31,AG,0,685845,192,0,0,0.03,26.57,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-01,AG,1,685845,193,0,0,0.03,17.71,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-02,AG,1,685845,194,0,0.01,0.03,78,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-03,AG,0,685845,194,0,0.02,0.03,137.14,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-04,AG,3,685845,197,0,0.03,0.03,236.14,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-05,AG,475,685845,672,0.07,0.05,0.1,326,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-06,AG,480,685845,1152,0.07,0.05,0.17,357,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-07,AG,693,685845,1845,0.1,0.05,0.27,357,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-08,AG,630,685845,2475,0.09,0.06,0.36,428.71,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-09,AG,218,685845,2693,0.03,0.07,0.39,478,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-10,AG,0,685845,2693,0,0.07,0.39,509.43,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-11,AG,505,685845,3198,0.07,0.07,0.47,509.71,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-12,AG,820,685845,4018,0.12,0.07,0.59,485.43,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-13,AG,700,685845,4718,0.1,0.07,0.69,486.71,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-14,AG,695,685845,5413,0.1,0.07,0.79,486.86,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-15,AG,460,685845,5873,0.07,0.08,0.86,536.29,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-16,AG,227,685845,6100,0.03,0.08,0.89,550.14,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-17,AG,1,685845,6101,0,0.09,0.89,650.71,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-18,AG,851,685845,6952,0.12,0.11,1.01,801,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-19,AG,917,685845,7869,0.13,0.13,1.15,906,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
2021-01-20,AG,1404,685845,9273,0.2,0.13,1.35,893.29,COVID19AtLeastOneDosePersons,2021-10-11_10-43-19,detailed
